query_niche_id,source_slice,niche_name,center_cell,k_hop,cells,parcellations_in_niche,parcellation_composition,parcellation_names
"Zhuang-ABCA-1.096_query_niche_207_123","Zhuang-ABCA-1.096","query_niche_207_123","115873764268629722312182509357101936308","10","100","207;123","46;54","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-1.097_query_niche_207_123","Zhuang-ABCA-1.097","query_niche_207_123","284896277831894781863454227616495127602","10","100","207;123","57;43","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-1.098_query_niche_207_123","Zhuang-ABCA-1.098","query_niche_207_123","337502760026487302083958961400454036056","10","100","207;123","40;60","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-1.099_query_niche_207_123","Zhuang-ABCA-1.099","query_niche_207_123","107866618339577374843073403153303495275","10","100","207;123","54;46","Area postrema;Koelliker-Fuse subnucleus"
"C57BL6J-638850.28_query_niche_9_15","C57BL6J-638850.28","query_niche_9_15","1019171910101350095","10","100","9;15","50;50","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"C57BL6J-638850.29_query_niche_9_15","C57BL6J-638850.29","query_niche_9_15","1019171907101890717","10","100","9;15","50;50","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"C57BL6J-638850.30_query_niche_9_15","C57BL6J-638850.30","query_niche_9_15","1018093344102050071-4","10","100","9;15","56;44","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"C57BL6J-638850.31_query_niche_9_15","C57BL6J-638850.31","query_niche_9_15","1018093345101970356","10","100","9;15","57;43","Primary somatosensory area, trunk, layer 6a;Parataenial nucleus"
"Zhuang-ABCA-3.001_query_niche_9_841","Zhuang-ABCA-3.001","query_niche_9_841","129161891950303790744192341117670362208","10","100","9;841","56;44","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-3.002_query_niche_9_841","Zhuang-ABCA-3.002","query_niche_9_841","260756969686819061777701656013719646037","10","100","9;841","53;47","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-3.004_query_niche_9_841","Zhuang-ABCA-3.004","query_niche_9_841","213747375740548741486299276215376870583","10","100","9;841","54;46","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-3.005_query_niche_9_841","Zhuang-ABCA-3.005","query_niche_9_841","248681836283597931274032933772419146765","10","100","9;841","58;42","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"Zhuang-ABCA-3.001_query_niche_207_123","Zhuang-ABCA-3.001","query_niche_207_123","71694519484771512601759363294254249838","10","100","207;123","48;52","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-3.002_query_niche_207_123","Zhuang-ABCA-3.002","query_niche_207_123","332980021249597560297443905956648738916","10","100","207;123","47;53","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-3.004_query_niche_207_123","Zhuang-ABCA-3.004","query_niche_207_123","331034796614687672463767692385444290234","10","100","207;123","59;41","Area postrema;Koelliker-Fuse subnucleus"
"Zhuang-ABCA-3.005_query_niche_207_123","Zhuang-ABCA-3.005","query_niche_207_123","86830398342429593222188220988067300250","10","100","207;123","47;53","Area postrema;Koelliker-Fuse subnucleus"
"C57BL6J-638850.31_query_niche_207_123","C57BL6J-638850.31","query_niche_207_123","1018093345101200561","10","100","207;123","57;43","Area postrema;Koelliker-Fuse subnucleus"
"C57BL6J-638850.28_query_niche_9_841","C57BL6J-638850.28","query_niche_9_841","1019171910101780295","10","100","9;841","42;58","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"C57BL6J-638850.28_query_niche_15_785","C57BL6J-638850.28","query_niche_15_785","1019171910101490633","10","100","15;785","57;43","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"C57BL6J-638850.29_query_niche_9_841","C57BL6J-638850.29","query_niche_9_841","1019171907101770942","10","100","9;841","49;51","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"C57BL6J-638850.29_query_niche_15_785","C57BL6J-638850.29","query_niche_15_785","1019171907101750065","10","100","15;785","44;56","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"C57BL6J-638850.30_query_niche_9_841","C57BL6J-638850.30","query_niche_9_841","1018093344101600083-5","10","100","9;841","48;52","Primary somatosensory area, trunk, layer 6a;trapezoid body"
"C57BL6J-638850.30_query_niche_15_785","C57BL6J-638850.30","query_niche_15_785","1018093344101740393-4","10","100","15;785","42;58","Parataenial nucleus;Ventromedial hypothalamic nucleus, ventrolateral part"
"C57BL6J-638850.31_query_niche_9_841","C57BL6J-638850.31","query_niche_9_841","1018093345101470331","10","100","9;841","44;56","Primary somatosensory area, trunk, layer 6a;trapezoid body"
