query_id,embedding_type,query_niche_id,source_slice,target_slice,niche_query_k
1,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.28,3
2,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.28,3
3,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.28,3
4,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.29,3
5,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.29,3
6,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.29,3
7,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.30,3
8,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.30,3
9,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.30,3
10,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.31,3
11,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.31,3
12,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,C57BL6J-638850.31,3
13,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.096,3
14,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.096,3
15,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.096,3
16,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.097,3
17,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.097,3
18,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.097,3
19,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.098,3
20,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.098,3
21,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.098,3
22,gene_expr_quest,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.099,3
23,scgpt,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.099,3
24,gene_expr,Zhuang-ABCA-1.096_query_niche_207_123,Zhuang-ABCA-1.096,Zhuang-ABCA-1.099,3
